station_code,monitoring_location,state_name,temp_min,temp_max,do_min,do_max,ph_min,ph_max,conductivity_min,conductivity_max,bod_min,bod_max,nitrate_min,nitrate_max,fecal_coliform_min,fecal_coliform_max,total_coliform_min,total_coliform_max,nitrate_minmissing,nitrate_maxmissing,fecal_coliform_minmissing,fecal_coliform_maxmissing,total_coliform_minmissing,total_coliform_maxmissing
3754,"RIVER TLAWNG D/S, RIMAWI VENG, BAIRABI",KOLASIB DIST. MIZORAM,1.2484412575662103,25.0,1.8718021769015913,2.3978952727983707,1.1164927212656812,1.15878230575197,5.003946305945459,5.638354669333745,0.5265890341390445,0.6706517679334237,0.0196091059213221,0.7992063962999625,3.332204510175204,5.351858133476067,5.14166355650266,7.170888478512505,0,0,1,1,1,1
3734,"RIVER TLAWNG U/S, ZOBAWK VILLAGE",LUNGLEI DIST. MIZORAM,1.3105061862047918,26.0,2.066862759472976,2.3608540011180215,1.0852212894608786,1.1327348211905697,3.6109179126442243,5.3706380281276624,0.5265890341390445,0.6288586214346804,0.0196091059213221,1.0428775599004367,3.332204510175204,5.351858133476067,5.14166355650266,7.170888478512505,0,0,1,1,1,1
3710,"RIVER, SERLUI STREAM, REIEK KAI, NEAR PHE WATER TREATMENT PLANT",AIZAWL MIZORAM,1.372306733580753,24.0,1.9021075263969205,2.2192034840549946,1.136632125546019,1.1790523938630966,2.9444389791664403,6.0473721790462776,0.5265890341390445,0.6059043893061568,0.0196091059213221,1.4965739176370956,3.332204510175204,5.351858133476067,5.14166355650266,7.170888478512505,0,0,1,1,1,1
3711,"VAIPUANPHO STREAM, AILAWNG",MAMIT DIST. MIZORAM,1.3973634811730353,24.0,1.7749523509116738,2.2192034840549946,1.1327348211905697,1.1657332267208378,3.6635616461296463,4.844187086458591,0.5265890341390445,0.6059043893061568,0.0196091059213221,0.5021834995772692,3.332204510175204,5.351858133476067,5.14166355650266,7.170888478512505,0,0,1,1,1,1
3712,"TUIKUAL STREAM, D/S, REIEK KAI, NEAR PHE WATER TREATMENT PLANT",AIZAWL MIZORAM,1.3852268599316875,25.0,1.589235205116581,2.2192034840549946,1.1479617260213135,1.1757923457184887,4.736198448394496,5.886104031450156,0.5265890341390445,1.0549397689047313,0.0196091059213221,0.633273782219051,1.0986122886681096,5.351858133476067,5.351858133476067,7.783640596221253,0,0,0,0,0,0
3713,"SAKHISIH STREAM, MISSION VENGTHLANG",AIZAWL MIZORAM,1.327761429538331,24.0,1.62924053973028,2.066862759472976,1.0602420254443068,1.1657332267208378,5.209486152841421,6.616065185132817,0.5265890341390445,0.8590753271500406,0.0196091059213221,1.2465199963882707,3.332204510175204,5.351858133476067,5.14166355650266,7.170888478512505,0,0,1,1,1,1
3714,"RIVER TUIRIAL UPSTREAM, SUMSUIH",AIZAWL DIST MIZORAM,1.2484412575662103,22.0,2.028148247292285,2.174751721484161,1.0804178182729878,1.1479617260213135,3.2188758248682006,5.638354669333745,0.5265890341390445,0.7078482962561656,0.0196091059213221,0.6059043893061568,3.332204510175204,5.351858133476067,5.14166355650266,7.170888478512505,0,0,1,1,1,1
3715,"RIVER TUIRIAL MID STREAM, AIRFIELD, U/S OF TUIRIAL WASTE MANAGEMENT CENTRE",AIZAWL DIST. MIZORAM,1.3852268599316875,24.0,1.6486586255873816,2.2082744135228043,1.1404678946996611,1.1757923457184887,4.969813299576001,6.025865973825314,0.5265890341390445,0.6288586214346804,0.0196091059213221,1.0451127757582872,3.332204510175204,5.351858133476067,5.14166355650266,7.170888478512505,0,0,1,1,1,1
3716,"DAMDIAI STREAM, AIRFIELD,NEAR TUIRIAL WASTE MANAGEMENT CENTRE",AIZAWL DIST MIZORAM,1.3852268599316875,24.0,1.8082887711792655,2.302585092994046,1.1516230654638673,1.1757923457184887,4.787491742782046,5.771441123130016,0.5265890341390445,0.6706517679334237,0.0196091059213221,0.4827819425627809,3.332204510175204,5.351858133476067,5.14166355650266,7.170888478512505,0,0,1,1,1,1
3718,"CHITE STREAM, ARMED VENG, NEAR MINI SPORTS COMPLEX",AIZAWL MIZORAM,1.3973634811730353,24.0,0.9162907318741551,2.0918640616783932,1.136632125546019,1.1691339637561873,5.918893854273146,6.818924065275521,0.5813534384286917,1.4818766360989102,0.0196091059213221,1.372306733580753,1.0986122886681096,7.00397413672268,7.3783837129967145,7.783640596221253,0,0,0,0,0,0
