state_name,temp_min,temp_max,do_min,do_max,ph_min,ph_max,conductivity_min,conductivity_max,bod_min,bod_max,nitrate_min,nitrate_max,fecal_coliform_min,fecal_coliform_max,total_coliform_min,total_coliform_max,fecal_streptococci_min,fecal_streptococci_max,temp_range,temp_avg,do_range,do_avg,ph_range,ph_avg,conductivity_range,conductivity_avg,bod_range,bod_avg,nitrate_range,nitrate_avg,fecal_coliform_range,fecal_coliform_avg,total_coliform_range,total_coliform_avg,wqi_category
31.0,9.0,26.0,8.5,9.6,5.7,8.0,96.0,286.0,1.0,1.0,0.32,0.98,22.0,49.0,70.0,240.0,2.0,2.0,17.0,17.5,1.0999999999999996,9.05,2.3,6.85,190.0,191.0,0.0,1.0,0.6599999999999999,0.65,27.0,35.5,170.0,155.0,Good
31.0,9.0,26.0,8.1,9.1,7.3,8.1,94.0,240.0,1.0,1.0,0.32,2.08,32.0,84.0,110.0,430.0,2.0,2.0,17.0,17.5,1.0,8.6,0.7999999999999998,7.699999999999999,146.0,167.0,0.0,1.0,1.76,1.2,52.0,58.0,320.0,270.0,Good
31.0,16.0,26.0,8.2,9.3,6.9,8.3,203.0,354.0,1.0,2.3,0.32,0.93,2.0,6.0,13.0,80.0,2.0,2.0,10.0,21.0,1.1000000000000014,8.75,1.4000000000000004,7.6000000000000005,151.0,278.5,1.2999999999999998,1.65,0.6100000000000001,0.625,4.0,4.0,67.0,46.5,Poor
31.0,19.0,23.0,7.0,10.7,7.9,8.4,223.0,273.0,1.0,1.0,0.42,2.47,2.0,2600.0,13.0,54000.0,2.0,17.0,4.0,21.0,3.6999999999999993,8.85,0.5,8.15,50.0,248.0,0.0,1.0,2.0500000000000003,1.445,2598.0,1301.0,53987.0,27006.5,Poor
31.0,18.5,23.0,7.1,10.4,8.0,8.3,217.0,272.0,1.0,1.0,0.47,1.13,4.0,2200.0,14.0,92000.0,2.0,490.0,4.5,20.75,3.3000000000000007,8.75,0.3000000000000007,8.15,55.0,244.5,0.0,1.0,0.6599999999999999,0.7999999999999999,2196.0,1102.0,91986.0,46007.0,Poor
68.0,19.5,24.0,7.1,9.8,7.7,8.3,257.0,333.0,1.0,5.0,0.32,1.1,200.0,13000.0,1700.0,350000.0,130.0,700.0,4.5,21.75,2.700000000000001,8.45,0.6000000000000005,8.0,76.0,295.0,4.0,3.0,0.78,0.7100000000000001,12800.0,6600.0,348300.0,175850.0,Poor
68.0,14.0,28.0,7.2,9.4,7.0,8.3,227.0,290.0,1.0,1.0,0.7,5.9,33.0,250.0,120.0,580.0,2.0,2.0,14.0,21.0,2.2,8.3,1.3000000000000007,7.65,63.0,258.5,0.0,1.0,5.2,3.3000000000000003,217.0,141.5,460.0,350.0,Poor
68.0,16.0,22.0,7.0,12.1,7.4,8.3,206.0,274.0,1.0,1.0,0.8,3.1,17.0,100.0,70.0,330.0,2.0,5.0,6.0,19.0,5.1,9.55,0.9000000000000004,7.8500000000000005,68.0,240.0,0.0,1.0,2.3,1.9500000000000002,83.0,58.5,260.0,200.0,Poor
68.0,16.0,22.0,7.0,12.2,7.6,8.4,207.0,275.0,1.0,1.0,0.8,3.1,20.0,110.0,79.0,330.0,2.0,2.0,6.0,19.0,5.199999999999999,9.6,0.8000000000000007,8.0,68.0,241.0,0.0,1.0,2.3,1.9500000000000002,90.0,65.0,251.0,204.5,Poor
68.0,15.0,23.0,7.4,12.3,7.1,8.5,202.0,298.0,1.0,1.0,0.9,6.0,22.0,210.0,110.0,470.0,2.0,2.0,8.0,19.0,4.9,9.850000000000001,1.4000000000000004,7.8,96.0,250.0,0.0,1.0,5.1,3.45,188.0,116.0,360.0,290.0,Poor
68.0,13.0,28.0,7.5,10.0,7.0,8.3,210.0,302.0,1.0,1.0,0.9,2.4,38.0,380.0,140.0,840.0,10.8,55.8,15.0,20.5,2.5,8.75,1.3000000000000007,7.65,92.0,256.0,0.0,1.0,1.5,1.65,342.0,209.0,700.0,490.0,Poor
68.0,15.0,35.0,4.6,8.4,7.6,8.1,248.0,574.0,1.0,3.0,0.3,1.4,200.0,1700.0,700.0,3900.0,5.0,18.8,20.0,25.0,3.8000000000000007,6.5,0.5,7.85,326.0,411.0,2.0,2.0,1.0999999999999999,0.85,1500.0,950.0,3200.0,2300.0,Poor
68.0,15.0,35.0,0.3,5.8,7.2,8.1,518.0,1144.0,4.5,14.0,0.4,2.8,330.0,2300.0,1400.0,4300.0,3.2,34.6,20.0,25.0,5.5,3.05,0.8999999999999995,7.65,626.0,831.0,9.5,9.25,2.4,1.5999999999999999,1970.0,1315.0,2900.0,2850.0,Poor
68.0,15.0,32.0,0.3,1.9,7.3,7.8,538.0,1248.0,4.8,21.0,0.4,2.0,1100.0,110000.0,6300.0,340000.0,30.6,2341.2,17.0,23.5,1.5999999999999999,1.0999999999999999,0.5,7.55,710.0,893.0,16.2,12.9,1.6,1.2,108900.0,55550.0,333700.0,173150.0,Poor
68.0,10.0,29.0,6.3,8.8,7.6,8.3,257.0,320.0,1.0,1.8,0.8,3.1,130.0,780.0,700.0,2600.0,115.0,378.0,19.0,19.5,2.500000000000001,7.550000000000001,0.7000000000000011,7.95,63.0,288.5,0.8,1.4,2.3,1.9500000000000002,650.0,455.0,1900.0,1650.0,Poor
